when_written,text_new
1829,creation fires my tongue nature thy anthems raise and spread the universal song of thy creators praise   heavens chief delight was man before creations birth ordained with joy to lead the van  and reign the lord of earth  when sin was quite unknown  and all the woes it brought  he hailed the morn withont a groan or one corroding thought  when each revolving wheel assumed its sphere sublime  submissive earth then heard the peal  and struck the march of time  the march in heaven begun  and splendor filled the skies  when wisdom bade the morning sun with joy from chaos rise  the angels heard the tune throughout creation ring they seized their golden harps as soon and touched on every string  when time and space were young  and music rolled along the morning stars together sung  and heaven was drownd in song  ye towering eagles soar  and fan creations blaze  and ye terrific lions roar   to your creators praise   responsive thunders roll  loud acclamations sound  and show your makers vast control oer all the worlds around  stupendous mountains smoke  and lift your summits high  to him who all your terrors woke  darkning the sapphire sky  now let my muse descend  to view the march below ye subterraneous worlds attend and bid your chorus flow  ye vast volcanoes yell whence fiery cliffs are hurled and all ye liquid oceans swell beneath the solid world  ye cataracts combine  nor let the pean cease the universal concert join  thou dismal precipice  but halt my feeble tongue  my weary muse delays but  oh my soul  still float along upon the flood of praise 
1829,oh  heartless dove mount in the skies  spread thy soft wing upon the gale  or on thy sacred pinions rise  nor brood with silence in the vale  breathe on the air thy plaintive note  which oft has filled the lonesome grove  and let thy melting ditty float the dirge of long lamented love  coo softly to the silent ear  and make the floods of grief to roll and cause by love the sleeping tear  to wake with sorrow from the soul  is it the loss of pleasures past which makes thee droop thy sounding wing does winters rough  inclement blast forbid thy tragic voice to sing  is it because the fragrant breeze along the sky forbears to flow nor whispers low amidst the trees  whilst all the vallies frown below  why should a frown thy soul alarm  and tear thy pleasures from thy breast or veil the siniles of every charm  and rob thee of thy peaceful rest  perhaps thy sleeping love may wake  and hear thy penitential tone and suffer not thy heart to break  nor let a princess grieve alone  perhaps his pity may return  with equal feeling from the heart  and breast with breast together burn  neverno  never more to part   never  till deaths resistless blow  whose cal the dearest must obey in twain together then may go  and thus together dwell for aye  say to the suitor  come away  nor break the knot which love has tied nor to the world thy trust betray  and fly for ever from thy bride 
1829,and wilt thou  love  my soul display  and all my secret thoughts betray i strove  but could not hold thee fast  my heart flies off with thee at last  the favorite daughter of the dawn  on loves mild breeze will soon be gone i strove  but could not cease to love  nor from my heart the weight remove  and wilt thou  love  my soul beguile  and gull thy favrite with a smile nay  soft affection answers  nay  and beauty wings my heart away  i steal on tiptoe from these bowers  all spangled with a thousand flowers i sigh  yet leave them all behind  to gain the object of my mind  and wilt thou  love  command my soul  and waft me with a light control adieu to all the blooms of may  farewelli fly with love away  i leave my parents here behind  and all my friendsto love resigned tis grief to go  but death to stay farewellim gone with love away 
1829,alas and am i born for this  to wear this slavish chain deprived of all created bliss  through hardship  toil and pain  how long have i in bondage lain  and languished to be free alas and must i still complain deprived of liberty  oh  heaven and is there no relief this side the silent grave to soothe the painto quell the grief and anguish of a slave  come liberty  thou cheerful sound  roll through my ravished ears come  let my grief in joys be drowned  and drive away my fears  say unto foul oppression  cease ye tyrants rage no more  and let the joyful trump of peace  now bid the vassal soar  soar on the pinions of that dove which long has cooed for thee  and breathed her notes from africs grove  the sound of liberty  oh  liberty thou golden prize  so often sought by blood we crave thy sacred sun to rise  the gift of natures god  bid slavery hide her haggard face  and barbarism fly i scorn to see the sad disgrace in which enslaved i lie  dear liberty upon thy breast  i languish to respire and like the swan unto her nest  id to thy smiles retire   oh  blest asylumheavenly balm unto thy boughs i flee and in thy shades the storm shall calm  with songs of liberty
1829,eliza  tell thy lover why or what induced thee to deceive me fare thee wellaway i fly i shun the lass who thus will grieve me  eliza  still thou art my song  although by force i may forsake thee fare thee well  for i was wrong to woo thee while another take thee  eliza  pause and think awhile sweet lass i shall forget thee never fare thee well although i smile  i grieve to give thee up for ever  eliza  i shall think of thee my heart shall ever twine about thee fare thee wellbut think of me  compelld to live and die without thee fare thee welland if for ever  still for ever fare thee well
1829,whilst tracing thy visage  i sink in emotion  for no other damsel so wondrous i see thy looks are so pleasing  thy charms so amazing  i think of no other  my truelove  but thee  with heartburning rapture i gaze on thy beauty  and fly like a bird to the boughs of a tree thy looks are so pleasing  thy charms so amazing  i fancy no other  my truelove  but thee  thus oft in the valley i think  and i wonder why cannot a maid with her lover agree thy looks are so pleasing  thy charms so amazing  i pine for no other  my truelove  but thee  id fly from thy frowns with a heart full of sorrow return  pretty damsel  and smile thou on me by every endeavour  ill try thee for ever  and languish until i am fancied by thee
1829,blest babe it at length has withdrawn  the seraphs have rocked it to sleep away with an angelic smile it has gone  and left a sad parent to weep  it soars from the ocean of pain  on breezes of precious perfume o be not discouraged when death is but gain the triumph of life from the tomb  with pleasure i thought it my own  and smild on its infantile charms but some mystic bird  like an eagle  came down  and snatchd it away from my arms  blest babe  it ascends into heaven  it mounts with delight at the call and flies to the bosom from whence it was given  the parent and patron of all
1829,am i sadly cast aside  on misfortunes rugged tide will the world my pains deride for ever  must i dwell in slaverys night  and all pleasure take its flight  far beyond my feeble sight  for ever  worst of all  must hope grow dim  and withhold her cheering beam rather let me sleep and dream for ever  something still my heart surveys  groping through this dreary maze is it hopethen burn and blaze for ever  leave me not a wretch confined  altogether lame and blind unto gross despair consigned  for ever  heaven in whom can i confide canst thou not for all provide condescend to be my guide for ever  and when this transient life shall end  oh  may some kind  eternal friend bid me from servitude ascend  for ever
1829,een john the baptist did not know who christ the lord could be  and bade his own disciples go  the strange event to see  they said  art thou the one of whom t was written long before is there another still to come  who will all things restore  this is enough  without a name go  tell him what is done behold the feeble  weak and lame  with strength rise up and run  this is enoughthe blind now see  the dumb hosannas sing devils far from his presence flee  as shades from mornings wing  see the distressd  all bathed in tears  prostrate before him fall immanuel speaks  and lazarus hears the dead obeys his call  this is enoughthe figtree dies  and withers at his frown nature her god must recognise  and drop her flowery crown  at his command the fish increase  and loaves of barley swell ye hungry eat  and hold your peace  and find a remnant still  at his command the water blushed  and all was turned to wine  and in redundance flowed afresh  and owned its god divine  behold the storms at his rebuke  all calm upon the sea how can we for another look  when none can work as he  this is enoughit must be god  from whom the plagues are driven at whose command the mountains nod and all the host of heaven
1829,hail  thou auspicious vernal dawn ye birds  proclaim the winters gone  ye warbling minstrels sing pour forth your tribute as ye rise  and thus salute the fragrant skies the pleasing smiles of spring  coo sweetly  oh thou harmless dove  and bid thy mate no longer rove  in cold  hybernal vales let music rise from every tongue  whilst winter flies before the song  which floats on gentle gales  ye frozen streams dissolve and flow along the valley  sweet and slow divested fields be gay ye drooping forests bloom on high  and raise your branches to the sky  and thus your charms display  thou world of heatthou vital source  the torpid insects feel thy force  which all with life supplies gardens and orchards richly bloom  and send a gale of sweet perfume  to invite them as they rise  near where the crystal waters glide  the male of birds escorts his bride  and twitters on the spray he mounts upon his active wing  to hail the bounty of the spring  the lavish pomp of may  inspiring month of youthful love  how oft we in the peaceful grove  survey the flowery plume or sit beneath the sylvan shade  where branches wave above the head  and smile on every bloom  exalted month  when thou art gone  may virtue then begin the dawn of an eternal spring may raptures kindle on my tongue  and start a new  eternal song  which neer shall cease to ring
